iter	Logloss	F1	Accuracy
0	0.6275366634	0.8911111111	0.8111753372
5	0.483310746	0.8965003723	0.8214515093
10	0.430851676	0.8976848394	0.8240205523
15	0.4061789295	0.9006374203	0.8298008992
20	0.3907170427	0.9042232278	0.8368657675
25	0.3802533355	0.9035916824	0.8362235067
30	0.3706277346	0.9045454545	0.838150289
35	0.365006385	0.9050873197	0.8394348105
40	0.3577160746	0.9050705299	0.8400770713
45	0.3538210752	0.9060351413	0.8420038536
50	0.3491217994	0.9090214067	0.8471419396
55	0.3438832033	0.90999617	0.8490687219
60	0.3394177191	0.9114603296	0.8516377649
65	0.3334793159	0.9142637447	0.856775851
70	0.3277263899	0.9158016148	0.859344894
75	0.3241237868	0.9162485527	0.8606294155
80	0.3209141491	0.9174382716	0.8625561978
85	0.3156297864	0.9181467181	0.8638407193
90	0.3114630296	0.9196290572	0.8664097624
95	0.3073752225	0.9215307306	0.8696210662
100	0.3016288037	0.9251647926	0.8760436737
105	0.2982524071	0.9266019417	0.8786127168
110	0.2938832973	0.9299065421	0.8843930636
115	0.2905442196	0.9306853583	0.8856775851
120	0.2874591609	0.9306853583	0.8856775851
125	0.2848248491	0.93203125	0.8882466281
130	0.2824861873	0.9328125	0.8895311496
135	0.27979919	0.9331247556	0.8901734104
140	0.2761994878	0.9334377447	0.8908156712
145	0.2740159032	0.9334377447	0.8908156712
150	0.2719580737	0.93375147	0.8914579319
155	0.2690215457	0.9349019608	0.8933847142
160	0.2676081918	0.9345354763	0.8927424534
165	0.2654304872	0.9344841114	0.8927424534
170	0.2636985705	0.9360533543	0.8953114965
175	0.260589188	0.9367883785	0.896596018
180	0.2592288135	0.9367883785	0.896596018
185	0.2563030853	0.9372056515	0.8972382787
190	0.2544774599	0.9382618954	0.899165061
195	0.2517538689	0.9378930818	0.8985228003
199	0.2507605286	0.9390003935	0.9004495825
