iter	Passed	Remaining
0	13	2676
1	26	2612
2	40	2629
3	53	2614
4	66	2607
5	80	2615
6	97	2690
7	111	2671
8	123	2625
9	138	2629
10	151	2608
11	163	2567
12	179	2575
13	193	2577
14	208	2575
15	222	2557
16	235	2534
17	248	2516
18	262	2503
19	278	2505
20	292	2492
21	304	2462
22	317	2442
23	330	2421
24	343	2403
25	356	2387
26	369	2366
27	382	2349
28	393	2320
29	407	2311
30	423	2310
31	438	2303
32	453	2293
33	465	2273
34	480	2263
35	494	2253
36	508	2239
37	521	2223
38	535	2209
39	549	2198
40	568	2203
41	586	2205
42	600	2191
43	616	2185
44	632	2177
45	643	2153
46	657	2139
47	671	2126
48	686	2115
49	700	2102
50	720	2104
51	733	2087
52	748	2076
53	762	2061
54	775	2045
55	790	2032
56	802	2014
57	818	2003
58	831	1986
59	844	1970
60	863	1966
61	878	1954
62	893	1943
63	907	1928
64	923	1917
65	937	1902
66	956	1899
67	967	1878
68	983	1867
69	999	1855
70	1015	1845
71	1028	1827
72	1043	1814
73	1059	1803
74	1073	1788
75	1089	1776
76	1100	1758
77	1114	1743
78	1127	1726
79	1142	1713
80	1156	1699
81	1171	1686
82	1184	1669
83	1199	1656
84	1217	1647
85	1233	1634
86	1248	1621
87	1279	1628
88	1296	1617
89	1309	1600
90	1322	1584
91	1337	1569
92	1354	1558
93	1370	1544
94	1415	1564
95	1436	1556
96	1450	1540
97	1462	1521
98	1475	1505
99	1489	1489
100	1503	1473
101	1517	1458
102	1530	1441
103	1544	1425
104	1566	1417
105	1584	1404
106	1596	1387
107	1616	1376
108	1635	1365
109	1647	1347
110	1663	1333
111	1678	1319
112	1692	1302
113	1705	1286
114	1719	1270
115	1732	1254
116	1746	1238
117	1758	1222
118	1779	1211
119	1791	1194
120	1805	1179
121	1818	1162
122	1831	1146
123	1844	1130
124	1859	1115
125	1873	1100
126	1885	1084
127	1901	1069
128	1914	1053
129	1927	1038
130	1941	1022
131	1958	1009
132	1973	994
133	1985	977
134	2000	963
135	2015	948
136	2030	933
137	2044	918
138	2058	903
139	2073	888
140	2089	874
141	2102	858
142	2118	844
143	2128	827
144	2141	812
145	2158	798
146	2169	782
147	2182	766
148	2194	751
149	2207	735
150	2221	720
151	2236	706
152	2250	691
153	2263	676
154	2277	661
155	2293	646
156	2307	631
157	2320	616
158	2334	602
159	2348	587
160	2366	573
161	2377	557
162	2390	542
163	2408	528
164	2420	513
165	2436	498
166	2451	484
167	2463	469
168	2479	454
169	2493	440
170	2506	425
171	2517	409
172	2530	395
173	2550	381
174	2563	366
175	2576	351
176	2590	336
177	2603	321
178	2617	307
179	2629	292
180	2644	277
181	2659	263
182	2675	248
183	2690	233
184	2707	219
185	2719	204
186	2735	190
187	2754	175
188	2768	161
189	2781	146
190	2793	131
191	2804	116
192	2816	102
193	2829	87
194	2845	72
195	2858	58
196	2871	43
197	2886	29
198	2897	14
199	2911	0
